url,title,price,bok_id,location,bedrooms,bathrooms,sqft,parking,agent,agent_agency,agent_phone,agent_image,image,date_published,lastmod,property_style,property_type,description,features,scraped_at
https://mybunchofkeys.com/property/valsayn-south-3-bedroom-2-5-bath-2-storey/,Valsayn South 3 Bedroom 2.5 Bath 2 Storey - My Bunch of Keys,"$7,750,000",BOK-843028,Valsayn,3,2.5,13000sq.ft.,6,JP Caribbean Real Estate,,(868) 353-9458,https://mybunchofkeys.com/wp-content/uploads/2026/06/JP-Caribbean-Real-Estate-Logo-with-border-320x320.png,https://mybunchofkeys.com/wp-content/uploads/2025/01/IMG_4304.jpg,2026-08-03T22:00:24+00:00,,House,For Sale,"Valsayn South 3 Bedroom 2.5 Bath 2 Storey House Size 5000 Sq Ft Land Size 13000 Sq Ft Maids Qtrs Living Rooms on both floors High Ceilings Large Covered Patio Front and Back Yard has a lot of potential About the Region Valsayn Valsayn is specific to being as an upper class residential area. Many local well-known business owners reside in this area. The area is located closely to Curepe and is split by North and South Valsayn. Valsayn has a Superpharm, a mall, night club and service station amongst other things. This area is heavily protected by owners with home & amalgamated security. The location, even though residential, hosts fetes for the carnival season. It is also very visited by locals nationwide for the Christmas season as many residences decorate their homes in a distinguished manner. It is memorable. View More Valsayn Listings",Fully Furnished; Gated Compound; Electricity; Air Conditioning; Pantry; Powder Room; Patio; Covered Garage; Parking on Compound; Remote Gate; Freehold Land; T&C Approved; Fully Fenced; Pet Friendly; Kid Friendly; Maid Quarters; Built-in Closets; Walk-in Closets; Water Tank; Water Pump; Water Heater,2026-08-06T19:38:47.233899+00:00
https://mybunchofkeys.com/property/valsayn-north-house-for-sale-4/,Valsayn North House for Sale - My Bunch of Keys,"$12,000,000",BOK-1026120,Valsayn,5,5,22000sq.ft.,,JP Caribbean Real Estate,,(868) 353-9458,https://mybunchofkeys.com/wp-content/uploads/2026/06/JP-Caribbean-Real-Estate-Logo-with-border-320x320.png,https://mybunchofkeys.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-16-at-11.03.57-AM.jpeg,2026-08-03T22:00:10+00:00,,House,For Sale,"Grand Estate with Endless Potential Valsayn North Premier Residential Enclave Unlock the true potential of this sprawling family estate located in the prestigious neighborhood of Valsayn North. Set on a massive 22,000 sq. ft. lot , this impressive 9,500 sq. ft. residence offers grand proportions and a solid foundation, ready for a visionary homeowner to modernize and transform it into a contemporary masterpiece. The Residence Expansive Living Spaces: The ground floor features a vast, open plan living and dining area with high ceilings, decorative crown molding, and elegant pillars, perfect for grand scale entertaining. Massive Chef’s Kitchen: An oversized kitchen area equipped with extensive cabinetry, granite countertops, a large center island, and a professional grade stainless steel farmhouse sink. 5 Spacious Bedrooms: Ample accommodations for a large family, including a generous master suite. 5 Full Bathrooms: Multiple well positioned bathrooms throughout the home to ensure convenience and privacy. Architectural Features: A stunning hardwood staircase with ornate wrought iron railings serves as a central focal point of the home. Functional Additions: Includes dedicated maid’s q",Private Pool; Air Conditioning; Kitchen Island; Powder Room; Patio; Security Patrols; Security Cameras; Covered Garage; Parking on Compound; Remote Gate; Freehold Land; Fully Fenced; Pet Friendly; Laundry Area/Facility; Maid Quarters; Built-in Closets; Walk-in Closets; Water Pump; Water Heater,2026-08-06T19:38:43.327166+00:00
https://mybunchofkeys.com/property/valsayn-north-house-for-sale-3/,Valsayn North House for Sale - My Bunch of Keys,"$5,300,000",BOK-1020171,Valsayn,4,3,12568sq.ft.,,NR Jones Realty Ltd.,,(868) 689 9312,https://mybunchofkeys.com/wp-content/uploads/2023/07/NR-Jones-Realty-Logo-Expanded-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2026/04/01bbff05-7275-4866-aff8-790c1747edd8.jpeg,2026-08-01T04:00:00+00:00,,House,For Sale,"Newly listed home in Jamboree Park, Valsayn North for sale. This excellently maintained 3,197 sq ft. home sits on approximately 12,568 sq ft. of land. Conveniently one storey ideal for home owners who prefer step free living. Featuring 4 bedrooms and 3 bathrooms there is also a well sized kitchen and dining room, laundry room and gym. Externally, a tiled patio is perfect for entertaining and enjoying the large manicured garden. There is also a covered automated car port with parking for at least two cars. About the Region Valsayn Valsayn is specific to being as an upper class residential area. Many local well-known business owners reside in this area. The area is located closely to Curepe and is split by North and South Valsayn. Valsayn has a Superpharm, a mall, night club and service station amongst other things. This area is heavily protected by owners with home & amalgamated security. The location, even though residential, hosts fetes for the carnival season. It is also very visited by locals nationwide for the Christmas season as many residences decorate their homes in a distinguished manner. It is memorable. View More Valsayn Listings",Home Gym; Patio; Covered Garage; Parking on Compound; Remote Gate; Pet Friendly; Kid Friendly; Laundry Area/Facility; Accessible; Built-in Closets,2026-08-06T19:38:40.419509+00:00
https://mybunchofkeys.com/property/valsayn-stand-alone-north-east-home-for-sale-6m/,Valsayn South stand-alone North East home For Sale $6M - My Bunch of Keys,"$6,000,000",BOK-920142,Valsayn,4,4,20115sq.ft.,,NR Jones Realty Ltd.,,(868) 689 9312,https://mybunchofkeys.com/wp-content/uploads/2023/07/NR-Jones-Realty-Logo-Expanded-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2025/08/86c5ccf7-b5da-44cb-a8e2-9ba302493dab.jpeg,2026-08-01T04:00:00+00:00,,House,For Sale,"Spacious Home in Valsayn South For Sale. With a generous land size of 20,115 sq ft. This established family home provides ample space for a family to make their dream home. The house size is approximately 3,200 sq ft and the layout is as follows: 〰️First Floor: 3 Bedrooms (1 En-suite), 2 Bathrooms, Study + Balcony and Walk-in Closet. 〰️Ground Floor: Kitchen, Living & Dining Areas, Front & Back Porches, 1 Bathroom + External Bathroom, Laundry/Utility Room, Housekeeper’s Room About the Region Valsayn Valsayn is specific to being as an upper class residential area. Many local well-known business owners reside in this area. The area is located closely to Curepe and is split by North and South Valsayn. Valsayn has a Superpharm, a mall, night club and service station amongst other things. This area is heavily protected by owners with home & amalgamated security. The location, even though residential, hosts fetes for the carnival season. It is also very visited by locals nationwide for the Christmas season as many residences decorate their homes in a distinguished manner. It is memorable. View More Valsayn Listings",Parking on Compound; T&C Approved; Fully Fenced; Pet Friendly; Kid Friendly; Laundry Area/Facility; Maid Quarters; Accessible,2026-08-06T19:38:50.108937+00:00
https://mybunchofkeys.com/property/westmoorings-home-for-sale/,Westmoorings Home For Sale - My Bunch of Keys,"$5,800,000",BOK-532850,Bayshore Port of Spain Westmoorings,5,3,7691sq.ft.,,NR Jones Realty Ltd.,,(868) 689 9312,https://mybunchofkeys.com/wp-content/uploads/2023/07/NR-Jones-Realty-Logo-Expanded-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2024/03/IMG_1827.jpeg,2026-08-01T04:00:00+00:00,,House,For Sale,"Located in Westmoorings in a safe and popular neighbourhood. This spacious home has been upgraded and is perfect for a family or young couple to make their dream home. There are 5 bedrooms and 3 bathrooms conveniently located all on one level and the property itself spans a generous 7,691 sq ft. There is also a lovely front patio, covered parking for at least 2 cars and a lovely front garden space. About the Region Bayshore Bayshore is located in the northwest peninsula of Trinidad, only 5.3 kms/3.3 mls from the capital Port of Spain. It is equidistant to Glencoe and Starlite Shopping Plazas and to West Mall Shopping Centre with its large array of shops. Each of these has a large grocery and pharmacy, making the neighbourhood a shopping paradise. This unique neighbourhood lies in the cachement area of the highly rated Dunross Primary School and many Montessori pre-schools and nurseries. To add to the attraction of Bayshore is the exciting fact that it sits at the gateway to Chaguaramas, the leisure centre of the country, where swimming, boating, hiking and many other recreational facilities are easily available. Residents can be comforted by the gated community, secured by monitore",Semi Furnished; Move in Ready; Patio; Parking on Compound; T&C Approved; Fully Fenced; Pet Friendly; Kid Friendly; Laundry Area/Facility; Accessible; Built-in Closets,2026-08-06T19:39:09.102960+00:00
https://mybunchofkeys.com/property/union-hall-home-for-sale-tt2-9m/,Union Hall - Home for Sale - TT$2.9M - My Bunch of Keys,"$2,900,000",BOK-1064527,Phillipine Retrench Village Union Hall,5,3,10050sq.ft.,6,Carolyn Ross,Twin Isle Property Consultants,(868) 765-7677,https://mybunchofkeys.com/wp-content/uploads/2025/09/Twin-Isle-Carolyn-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2026/07/WhatsApp-Image-2026-07-28-at-7.02.31-AM.jpeg,2026-07-29T20:33:27+00:00,,House,For Sale,"Union Hall – Home for Sale – TT$2.9M 🏡 FOR SALE – Union Hall TT$2.9 Million Prime Investment Opportunity! Whether you’re searching for a spacious family home, an income-producing investment, or the perfect combination of both, this exceptional property offers outstanding value and excellent potential for future appreciation. Situated on approximately 10,300 sq. ft. of freehold land , this versatile property features two separate entrances , providing privacy and flexibility for homeowners and tenants alike. Property Features: ✅ Spacious 3-bedroom home on the upper level ✅ Two self-contained 1-bedroom apartments on the ground floor ✅ Approximately 10,050 sq. ft. of freehold land ✅ Mature fruit trees throughout the property ✅ Only 2 minutes from the highway ✅ Conveniently located close to San Fernando , shopping, schools, and other major amenities This property is ideal for: Living upstairs while the rental income from the apartments helps offset your mortgage. Generating income by renting all three units. Investors seeking a property with strong income and appreciation potential. The home requires a little TLC , presenting a wonderful opportunity to renovate, add value, and build in",Unfurnished; Air Conditioning; Patio; Covered Garage; Parking on Compound; Remote Gate; Freehold Land; T&C Approved; Fully Fenced; Pet Friendly; Kid Friendly; Laundry Area/Facility; Accessible; Water Tank; Water Pump; Water Heater,2026-08-06T19:38:25.013536+00:00
https://mybunchofkeys.com/property/two-storey-home-2-lots-of-land-endeavour-gardens-chaguanas-4700000/,"Two- Storey Home, 2 Lots of Land, Endeavour Gardens, Chaguanas $4,700,000 - My Bunch of Keys","$4,700,000",BOK-1065112,Endeavour,4,4,10000sq.ft.,6,Realstar Contractors & Realtor,,(868) 757-8511,https://mybunchofkeys.com/wp-content/uploads/2023/05/Realstar-Logo-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2026/07/2-8.jpg,2026-07-29T16:24:45+00:00,,House,For Sale,"✨ JUST LISTED -Two Storey – LUXURY FAMILY RESIDENCE ✨ 🏡 Endeavour Gardens, Chaguanas 🌟 A Rare Opportunity to Own Elegance, Space & Luxury Living! 🌟 Welcome to this beautifully designed gated two-storey executive residence , perfectly positioned on TWO FULL LOTS (Lots 6 & 8) within the prestigious community of Endeavour Gardens, Chaguanas . Offering a perfect blend of modern comfort, privacy, security, and timeless elegance , this exceptional home boasts breathtaking views of the Northern Range , generous indoor and outdoor spaces, and everything needed for refined family living. ✨ Property Features: 🏡 Spacious Two-Storey Gated Residence 🌿 Situated on Two Full Lots — offering endless possibilities for expansion, recreation, or future investment 🛏️ 4 Spacious Bedrooms 🛁 4 Modern Bathrooms 👑 Luxurious Master Suite featuring: • Jacuzzi Bath • Elegant Glass Shower • Private Retreat Feel 🌅 Two Large Porches perfect for relaxing, entertaining, and enjoying the beautiful surroundings ❄️ Fully Air-Conditioned Throughout 🚗 Secure Two-Car Garage 📹 Full Security Camera System for peace of mind 🦟 Meshed Windows & Screen Doors 🌺 Beautifully Landscaped Gardens ✨ Elegant Tiled Flooring Throughout ",Semi Furnished; Move in Ready; Air Conditioning; Kitchen Appliances; Kitchen Island; Pantry; Powder Room; Patio; Security Cameras; Covered Garage; Parking on Compound; Remote Gate; Freehold Land; T&C Approved; Fully Fenced; Pet Friendly; Kid Friendly; Office Space; Laundry Area/Facility; Maid Quarters; Accessible; Built-in Closets; Walk-in Closets; Water Tank; Water Pump; Water Heater,2026-08-06T19:38:22.035579+00:00
https://mybunchofkeys.com/property/welcome-residences-cunupia/,Welcome Residences Cunupia - My Bunch of Keys,"$1,350,000",BOK-1065179,Cunupia,3,2,1450sq.ft.,3,Carmino Realty International TT,,(868) 326-5600,https://mybunchofkeys.com/wp-content/uploads/2025/12/Carmino-Logo-2025-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2026/07/WhatsApp-Image-2026-07-29-at-10.14.03-AM-1.jpeg,2026-07-29T16:23:10+00:00,,House,For Sale,"🏡✨ Modern Home for Sale – Cunupia ✨🏡 📍 Location: Cunupia 💰 Price: TT$1,350,000 🔐 Secure Gated Community 💵 HOA Fees: TT$250 per month Discover the perfect blend of style, comfort, and convenience in this beautifully crafted home located in the heart of Cunupia . Featuring premium finishes and a thoughtfully designed layout, this property is ideal for families seeking modern living in a secure and welcoming community. 🌟 Property Features: 📐 1,450 sq. ft. of Living Space 🛏️ 3 Spacious Bedrooms 🛁 2 Modern Bathrooms 👕 Dedicated Laundry Room 👔 Walk-In Closet in the Primary Bedroom 🪵 Bespoke Cabinetry in All Bedrooms 🍽️ Shaker-Style Kitchen 🪨 Granite Countertops 🚰 Stainless Steel Faucets ✨ Glazed Porcelain Tile Flooring Throughout 🏠 Elegant Gypsum Ceilings ❄️ Air-Conditioned 🔥 Water Heater 💧 Water Tank & Water Pump 🌅 Inviting Front Porch 🌴 Community Benefits: 🔐 Secure Gated Community 🛣️ Easy Access to Major Roadways 🛒 Minutes from Shopping Centres & Supermarkets 🏫 Close to Schools & Essential Amenities 🌿 Peaceful, Family-Friendly Environment ✨ Offering exceptional value at TT$1.35 million , this home combines quality craftsmanship, premium finishes, and the security of gated community liv",Unfurnished; Move in Ready; Gated Compound; Air Conditioning; Walk-in Closets; Water Tank,2026-08-06T19:38:57.604373+00:00
https://mybunchofkeys.com/property/valsayn-house-for-sale-6-8m/,VALSAYN HOUSE FOR SALE $5.99M - My Bunch of Keys,"$5,990,000",BOK-990354,Valsayn,4,2,21000sq.ft.,4,Gina Maria Pinheiro,Pinheiro Realty Services,(868) 620-6310,https://mybunchofkeys.com/wp-content/uploads/2018/06/Gina-Maria-Pinheiro-320x320.jpg,https://mybunchofkeys.com/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-05-at-11.59.41-AM.jpeg,2026-07-27T13:00:07+00:00,,House,For Sale,"FOR SALE $5.99M OLDER HOME On 21,000 sq ft of FREEHOLD Land. Single story Four bedrooms Two bathrooms Parking for 4 cars Kitchen, dining living and TV area with patio overlooking a large backyard with fruit trees. There is also a plus room and bathroom next to the kitchen. Conveniently located a few steps away from Valpark Shopping Plaza. About the Region Valsayn Valsayn is specific to being as an upper class residential area. Many local well-known business owners reside in this area. The area is located closely to Curepe and is split by North and South Valsayn. Valsayn has a Superpharm, a mall, night club and service station amongst other things. This area is heavily protected by owners with home & amalgamated security. The location, even though residential, hosts fetes for the carnival season. It is also very visited by locals nationwide for the Christmas season as many residences decorate their homes in a distinguished manner. It is memorable. View More Valsayn Listings",Unfurnished; Air Conditioning; Patio; Freehold Land; Fully Fenced; Built-in Closets,2026-08-06T19:38:33.717824+00:00
https://mybunchofkeys.com/property/villas-of-les-boix-morne-coco-road-maraval/,"Villas of Les Boix, Morne Coco Road, Maraval - My Bunch of Keys","$3,500,000",BOK-1062643,Maraval,3,3,,2,Tucker Real Estate,,(868) 628-9307,https://mybunchofkeys.com/wp-content/uploads/2018/07/Tucker-Real-Estate-320x320.png,https://mybunchofkeys.com/wp-content/uploads/2026/07/Pool-Area.png,2026-07-22T20:06:06+00:00,,House,For Sale,"FOR SALE – Villas of Les Boix, Morne Coco Road ✨ Modern Living in a Gated Community! ✨ Experience secure, spacious living in this fully air-conditioned, 3-bedroom, 3.5-bathroom semi-furnished home situated within a quiet, gated community in Maraval featuring a communal pool, gazebo, and kids’ play area. Designed with a seamless open-plan living and dining area, a half bath for guests, a well-appointed kitchen featuring a walk-in pantry and convenient laundry located just off the kitchen, and a private balcony, this residence offers the ideal blend of comfort and style. The master suite features a generous walk-in closet, while a dedicated basement and a private rooftop area provide endless possibilities for entertainment, home offices, or extra storage. Complete with secure parking for 2 vehicles, this home is being sold semi-furnished and ready for move-in! About the Region Maraval Maraval is one of the northern suburbs of Trinidad's capital, Port of Spain, a valley in northern Trinidad in Trinidad and Tobago. It is situated at the bottom of the hills of Paramin and located east of the Diego Martin valley to which it is connected directly by Morne Coco Road, and west of Santa Cruz",Semi Furnished; Move in Ready; Gated Community; Air Conditioning; Kitchen Appliances; Pantry; Powder Room; Patio; Parking on Compound; Leasehold Land; Kid Friendly; Laundry Area/Facility; Walk-in Closets,2026-08-06T19:38:54.174765+00:00
